"Date","Price","Open","High","Low","Vol.","Change %"
"06/04/2020","18.206","18.095","18.270","17.920","6.73K","0.64%"
"06/03/2020","18.090","18.505","18.510","17.810","6.00K","-1.62%"
"06/02/2020","18.388","18.980","19.035","18.245","9.43K","-2.97%"
"06/01/2020","18.951","18.715","19.020","18.585","7.09K","1.97%"
"05/29/2020","18.584","18.050","18.630","17.910","5.58K","2.96%"
"05/28/2020","18.050","17.855","18.180","17.775","3.71K","1.19%"
"05/27/2020","17.838","17.645","17.935","17.310","3.86K","0.93%"
"05/26/2020","17.674","17.700","18.100","17.450","5.92K","0.45%"
"05/25/2020","17.595","17.690","18.040","17.370","77.62K","-0.95%"
"05/22/2020","17.763","17.510","17.805","17.260","3.09K","1.95%"
"05/21/2020","17.424","18.100","18.100","17.315","4.02K","-3.64%"
"05/20/2020","18.082","17.915","18.200","17.815","4.10K","0.70%"
"05/19/2020","17.956","17.430","18.055","17.420","3.23K","2.43%"
"05/18/2020","17.530","17.275","18.010","17.200","3.56K","2.39%"
"05/15/2020","17.121","16.250","17.195","16.210","3.68K","5.63%"
"05/14/2020","16.209","15.820","16.275","15.715","1.21K","3.05%"
"05/13/2020","15.729","15.690","15.970","15.600","3.29K","-0.30%"
"05/12/2020","15.777","15.765","15.955","15.610","2.94K","0.15%"
"05/11/2020","15.754","15.845","15.960","15.585","2.64K","-0.51%"
"05/08/2020","15.835","15.645","16.045","15.590","3.40K","1.09%"
"05/07/2020","15.664","15.150","15.735","15.110","3.08K","3.71%"
"05/06/2020","15.103","15.205","15.480","14.935","1.39K","-0.64%"
"05/05/2020","15.201","14.915","15.255","14.850","1.73K","2.13%"
"05/04/2020","14.884","15.285","15.290","14.870","1.70K","-1.00%"
"05/01/2020","15.035","15.180","15.240","14.930","3.14K","-0.29%"
"04/30/2020","15.079","15.550","16.000","14.965","4.35K","-1.99%"
"04/29/2020","15.385","15.330","15.660","15.330","1.54K","0.37%"
"04/28/2020","15.328","15.435","15.505","15.085","31.34K","-0.08%"
"04/27/2020","15.341","15.490","15.635","15.300","19.48K","-0.67%"
"04/24/2020","15.445","15.535","15.730","15.275","18.75K","-0.52%"
"04/23/2020","15.526","15.450","15.885","15.355","17.54K","0.15%"
"04/22/2020","15.503","15.075","15.535","14.895","15.04K","3.42%"
"04/21/2020","14.991","15.675","15.710","14.715","18.39K","-4.82%"
"04/20/2020","15.750","15.425","15.805","15.325","10.76K","1.97%"
"04/17/2020","15.445","15.890","15.945","15.335","9.21K","-2.04%"
